name,description,maker,trademark
Jugo en Polvo Tang Sabor Durazno 18 g,Jugo en Polvo Tang Sabor Durazno 18 g,Mondelēz International,Tang
Agua Bonaqua Sin Gas 2.5 L,Agua Bonaqua Sin Gas 2.5 L,Bonaqua, Bonaqua
Cerveza Darguner Weissbier Lata 500 Ml,Cerveza Darguner Weissbier Lata 500 Ml,,Darguner
"Chicle Beldent Infinit Wild Mint 26,6 Gr","Chicle Beldent Infinit Wild Mint 26,6 Gr",,Beldent
Gomitas Billiken,Gomitas Billiken,,Billiken
Vino Tinto Altos Del Plata Malbec 750 Cc,Vino Tinto Altos Del Plata Malbec 750 Cc,,Terrazas
Champaa Baron B Extra Brut,Champaa Baron B Extra Brut Con Estuche 750 Cc,Baron B,Baron B
Leche Entera Bebé 1  Nutrición Completa 500 mL,Leche Entera Bebé 1  Nutrición Completa 500 mL,SanCor,Bebé
Whisky Jim Beam Honey 750 Ml,Whisky Jim Beam Honey 750 Ml,,Jim Beam
Queso Untable La Serenísima Light 200 Gr,Queso Untable La Serenísima Light 200 Gr,,La Serenisima
Queso Untable La Serenísima Por Salut 200 Gr,Queso Untable La Serenísima Por Salut 200 Gr,,La Serenisima
Vino Portillo Malbec 375 mL,Vino Portillo Malbec 375 mL,Bodegas La Negrita,Portillo
Chimichurri Darama,Chimichurri Darama 180 Gr,,Darama 
Vino Tinto Novecento Malbec 750 mL,Vino Tinto Novecento Malbec 750 mL,Novecento,Novecento
"Tableta Kit Kat Leche Hazelnut 41,5 Gr","Tableta Kit Kat Leche Hazelnut 41,5 Gr",,Nestle
Cerveza Quilmes Bock,Cerveza Quilmes Bock,,Quilmes
Jamón Cocido Campo Austral Tradicional 1 Kg,Jamón Cocido Campo Austral Tradicional 1 Kg,La Piamontesa	,Campo Austral 
Champaña Lagarde Dulce 750 Cc,Champaña Lagarde Dulce 750 Cc,,Lagarde
Cerveza Brahma Chopp 354 Ml,Cerveza Brahma Chopp 354 Ml,,Brahma
"Jugo Saldan Naranja 1,5 L","Jugo Saldan Naranja 1,5 L",Pritty,Saldan
Alfajor TERRABUSI check out,Alfajor Terrabusi Torta 70 Gr,,Terrabusi
Queso Sancor Pategras 240 Gr,Queso Sancor Pategras 240 Gr,,Sancor
Queso Cheddar Snowdonia.,Queso Cheddar Snowdonia Rojo Rub 1 Kg,Snowdonia,Snowdonia
Queso Cheddar Babybel Mini 5 U,Queso Cheddar Babybel Mini 5 U, Babybel , Babybel 
Turrón Georgalos De Maní,Turrón Georgalos De Maní,,Georgalos
Espumante Liason Extra Brut 750 Cc,Espumante Liason Extra Brut 750 Cc,,Liason
Turron De Mani Con Chocolate Aguila X90Gr,Turron De Mani Con Chocolate Aguila X90Gr,,Arcor
Cranberries Guylian Bañados En Chocolate 163 Gr,Cranberries Guylian Bañados En Chocolate 163 Gr,,Guylian
Salchichas Gr.Iris Light X5,Salchichas Gr.Iris Light X5,,La Gallega
Pan Dulce Arcor Con Frutas X 500 Gr,Pan Dulce Arcor Con Frutas X 500 Gr,,Arcor
Queso Gouda Don Atilio de Tandil Ahumado 1 Kg,Queso Gouda Don Atilio de Tandil Ahumado 1 Kg,Don Atilio	,Don Atilio	
Caramelos C&H Limon X 200Gr,Caramelos C&H Limon X 200Gr,,C&H
Mortadela Mini Paladini 300 Gr,Mortadela Mini Paladini 300 Gr,,Paladini
Vino Benjamin Nieto Senetiner Merlot 750 Cc,Vino Benjamin Nieto Senetiner Merlot 750 Cc,,Benjamin Nieto
Vino Tinto Elementos Malbec 750 mL,Vino Tinto Elementos Malbec 750 mL,Elementos,Elementos
Cerveza Stella Artois Noire 330 Ml,Cerveza Stella Artois Noire 330 Ml,,Stella Artois
Jugo en Polvo Tang Ananá 18 g,Jugo en Polvo Tang Ananá 18 g,Mondelez ,Tang
